Date,MAGS.Close,TSLA.Close,GOOG.Close,AAPL.Close,MSFT.Close,AMZN.Close,META.Close,NVDA.Close
26/06/2024,45.6,196.4,185.4,213.3,452.2,193.6,513.1,126.4
27/06/2024,45.8,197.4,186.9,214.1,452.9,197.9,519.6,124.0
28/06/2024,45.1,197.9,183.4,210.6,447.0,193.3,504.2,123.5
01/07/2024,46.1,209.9,184.5,216.8,456.7,197.2,504.7,124.3
02/07/2024,47.2,231.3,186.6,220.3,459.3,200.0,509.5,122.7
03/07/2024,47.9,246.4,187.4,221.6,460.8,197.6,510.0,128.3
05/07/2024,48.9,251.5,192.0,226.3,467.6,200.0,539.9,125.8
08/07/2024,48.8,252.9,190.5,227.8,466.2,199.3,529.3,128.2
09/07/2024,49.3,262.3,190.4,228.7,459.5,199.3,530.0,131.4
10/07/2024,49.8,263.3,192.7,233.0,466.3,199.8,534.7,134.9
11/07/2024,47.6,241.0,187.3,227.6,454.7,195.1,512.7,127.4
12/07/2024,47.9,248.2,186.8,230.5,453.5,194.5,498.9,129.2
15/07/2024,48.1,252.6,188.2,234.4,454.0,192.7,496.2,128.4
16/07/2024,47.8,256.6,185.5,234.8,449.5,193.0,489.8,126.4
17/07/2024,46.3,248.5,182.6,228.9,443.5,187.9,462.0,118.0
18/07/2024,46.3,249.2,179.2,224.2,440.4,183.8,475.9,121.1
19/07/2024,45.6,239.2,179.4,224.3,437.1,183.1,476.8,117.9
22/07/2024,46.7,251.5,183.4,224.0,442.9,182.6,487.4,123.5
23/07/2024,46.7,246.4,183.6,225.0,444.9,186.4,488.7,122.6
24/07/2024,43.9,216.0,174.4,218.5,428.9,180.8,461.3,114.3
25/07/2024,43.4,220.3,169.2,217.5,418.4,179.9,453.4,112.3
26/07/2024,43.9,219.8,168.7,218.0,425.3,182.5,465.7,113.1
29/07/2024,44.3,232.1,171.1,218.2,426.7,183.2,465.7,111.6
30/07/2024,43.5,222.6,171.9,218.8,422.9,181.7,463.2,103.7
